primaryTitle,genre,averageRating,rank,max_votes
Mid-Orange Correctional Facility,History,9.9,1,50
Vichnaya Pamyat,History,9.8,2,60932
Upanishad Ganga,History,9.7,3,821
Please Remain Calm,History,9.6,4,50677
"Open Wide, O Earth",History,9.5,5,47481
Chernobyl,History,9.4,6,790004
The Chosen,History,9.3,7,35934
The World at War,History,9.2,8,26663
The Last Dance,History,9.1,9,131999
Schindler's List,History,9.0,10,1377925
Equipe E,Horror,9.9,1,564
Mizumono,Horror,9.8,2,20223
The Wrath of the Lamb,Horror,9.7,3,14405
Chapter Seven: The Massacre at Hawkins Lab,Horror,9.6,4,38762
Mystery Spot,Horror,9.5,5,8565
Chapter Four: Dear Billy,Horror,9.4,6,35121
Chapter Eight: The Upside Down,Horror,9.3,7,25774
The Day Will Come When You Won't Be,Horror,9.2,8,42121
The Twilight Zone,Horror,9.1,9,86608
Chapter Nine: The Piggyback,Horror,9.0,10,30729
Me singing Don't Wanna Be Torn by Hannah Montana - Christina Grimmie,Music,9.9,1,111
Episode #15.135,Music,9.8,2,164
Teddy Perkins,Music,9.7,3,8141
Coke Studio,Music,9.6,4,1250
The Quarterback,Music,9.5,5,3496
Nirvana,Music,9.4,6,1946
B.A.N.,Music,9.3,7,5547
The Beatles Anthology,Music,9.2,8,9225
Barbershop,Music,9.1,9,3831
The Beatles: Get Back,Music,9.0,10,24536
Me singing Don't Wanna Be Torn by Hannah Montana - Christina Grimmie,Musical,9.9,1,111
Vasanthi Nalidaga,Musical,9.8,2,37
Christina Grimmie Zeldaxlove 64,Musical,9.7,3,451
Nothing But a Love Song,Musical,9.6,4,98
Madhi,Musical,9.5,5,2136
Naam,Musical,9.4,6,131
"Yes, It's Really Us Singing: The Crazy Ex-Girlfriend Concert Special!",Musical,9.3,7,346
Les Misérables in Concert,Musical,9.2,8,2432
Nagara Haavu,Musical,9.1,9,1126
The Nightmare of Milky Joe,Musical,9.0,10,460
Evde,Mystery,9.9,1,553
The Getaway,Mystery,9.8,2,14154
The Bicameral Mind,Mystery,9.7,3,31174
The Reichenbach Fall,Mystery,9.6,4,39287
Form and Void,Mystery,9.5,5,25457
A Scandal in Belgravia,Mystery,9.4,6,40173
The Well-Tempered Clavier,Mystery,9.3,7,19336
His Last Vow,Mystery,9.2,8,30946
Sherlock,Mystery,9.1,9,945917
Persona,Mystery,9.0,10,43048
Episode #4.2,News,9.9,1,139
Prime Time,News,9.8,2,133
Remembering Chadwick Boseman,News,9.7,3,1856
SLAPP Suits,News,9.6,4,696
Government Surveillance,News,9.5,5,708
Pretty Much It,News,9.4,6,285
1pm Daily Update,News,9.3,7,1804
24 minuta sa Zoranom Kesicem,News,9.2,8,253
We Cannot Stay Silent About George Floyd,News,9.1,9,196
Trump vs Truth,News,9.0,10,487
Wooten's Airboat Tours: Sinking Business,Reality-TV,9.9,1,139
Snatch Game,Reality-TV,9.8,2,2970
Supremme Elegant Talent Extravaganza,Reality-TV,9.7,3,2835
Climaxing,Reality-TV,9.6,4,1086
Khawatir,Reality-TV,9.5,5,3219
Cooku with Comali,Reality-TV,9.4,6,1568
Jinny's Kitchen,Reality-TV,9.3,7,3060
Harvesting,Reality-TV,9.2,8,1293
Unstoppable with NBK,Reality-TV,9.1,9,4535
Clarkson's Farm,Reality-TV,9.0,10,46831
Episode #1.11,Romance,9.9,1,99
"Dual Confessions, Part 2/The Shuchiin Afterparty",Romance,9.8,2,1960
The One Where Everybody Finds Out,Romance,9.7,3,12104
The Last One,Romance,9.6,4,15652
How Your Mother Met Me,Romance,9.5,5,10339
The One with the Embryos,Romance,9.4,6,8844
The One with the Prom Video,Romance,9.3,7,8168
The One with the Rumor,Romance,9.2,8,7432
Final Fantasy X,Romance,9.1,9,8249
The One with the Flashback,Romance,9.0,10,6314
EIGHT,Sci-Fi,9.9,1,40
Blink,Sci-Fi,9.8,2,21688
The Bicameral Mind,Sci-Fi,9.7,3,31174
Heaven Sent,Sci-Fi,9.6,4,11631
Damocles: Part Two,Sci-Fi,9.5,5,5967
Trompe L'Oeil,Sci-Fi,9.4,6,21095
The Well-Tempered Clavier,Sci-Fi,9.3,7,19336
Chapter 5: Return of the Mandalorian,Sci-Fi,9.2,8,25482
White Christmas,Sci-Fi,9.1,9,59993
Firefly,Sci-Fi,9.0,10,270642
Home Is You,Short,9.9,1,226
The Great Escape of Mr. Swag Boss,Short,9.8,2,551
Sahebs Who Never Left - Part 1: The Origins,Short,9.7,3,3957
The Good Place: Live Panel Discussion,Short,9.6,4,1663
Choque de Cultura,Short,9.5,5,773
Human Cake,Short,9.4,6,2477
100 Accurate Life Hacks,Short,9.3,7,1038
The Filthy Frank Show,Short,9.2,8,33108
Dragonslayer Doppelgänger,Short,9.1,9,1397
Vikings Season 3: Heavy Is the Head -the Politics of King Ragnar's Rule,Short,9.0,10,6147
Barstool Yak,Sport,9.9,1,508
Londra Merkez,Sport,9.8,2,1782
The Mongolia Special-Survival of the Fattest,Sport,9.7,3,3803
Always,Sport,9.6,4,1178
The Son,Sport,9.5,5,984
Formula 1,Sport,9.4,6,3243
Funeral for a Ford,Sport,9.3,7,1846
Baseball,Sport,9.2,8,4447
The Hope That Kills You,Sport,9.1,9,6585
Man City,Sport,9.0,10,6729
Desi Vibes with Shehnaaz Gill,Talk-Show,9.9,1,564
Bette Davis/Richard Pryor,Talk-Show,9.8,2,187
The Mongolia Special-Survival of the Fattest,Talk-Show,9.7,3,3803
The Good Place: Live Panel Discussion,Talk-Show,9.6,4,1663
Batman V Superman: Dawn of Justice (Ultimate Edition),Talk-Show,9.5,5,1233
Best of the Worst,Talk-Show,9.4,6,3545
Half in the Bag,Talk-Show,9.3,7,4966
Norm Macdonald Live,Talk-Show,9.2,8,1542
Unstoppable with NBK,Talk-Show,9.1,9,4535
Suchwita,Talk-Show,9.0,10,2247
Felina,Thriller,9.9,1,127642
Vichnaya Pamyat,Thriller,9.8,2,60932
Granite State,Thriller,9.7,3,48471
Please Remain Calm,Thriller,9.6,4,50677
Breaking Bad,Thriller,9.5,5,1959565
Chernobyl,Thriller,9.4,6,790004
The Wire,Thriller,9.3,7,350195
The Day Will Come When You Won't Be,Thriller,9.2,8,42121
Rabid Dog,Thriller,9.1,9,29094
Pilot,Thriller,9.0,10,38736
Anonymous,War,9.9,1,19
Toy Guns and the Mystery of Mr. Swag Boss,War,9.8,2,164
Jacobowsky und der Oberst,War,9.7,3,33
Wheels of War,War,9.6,4,103
Why We Fight,War,9.5,5,9341
Band of Brothers,War,9.4,6,480907
Jibon Theke Neya,War,9.3,7,2163
The World at War,War,9.2,8,26663
The Vietnam War,War,9.1,9,25818
Apocalypse: The Second World War,War,9.0,10,13125
The White Witch,Western,9.9,1,8
Plan 11: Black Bela Returns,Western,9.8,2,11
Prince Oak Oakleyski Russia-Thailand,Western,9.7,3,22
Frisco,Western,9.6,4,8
The Silver Kid,Western,9.5,5,14
Lone Star Trixie,Western,9.4,6,538
Half the Money,Western,9.3,7,3683
Racing Clouds,Western,9.2,8,3094
The Fangs of Freedom,Western,9.1,9,3493
This Is Not Your Heaven,Western,9.0,10,3034
